TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MWET3;13,30;;-5,72;-2,64;0,10;13,38;-3,47;-1,72;-2,83;-9,74;-7,92;;0,10;-1,13;-0,16;0,82;-46,11;-1,68;-52,31;-0,04;1,04;0,98;19,24;;1.993,00;-5,05;-2,33;0,05;17.685.105,78
MWET4;6,24;;-2,68;-1,24;0,05;13,38;-3,47;-1,72;-1,33;-9,74;-7,92;;0,05;-0,53;-0,07;0,82;-46,11;-1,68;-52,31;-0,04;1,04;0,98;19,24;;15.740,89;-5,05;-2,33;0,02;17.685.105,78
MYPK3;12,95;2,33;-19,34;0,52;0,13;9,29;4,96;-0,66;2,57;7,48;4,92;0,99;0,13;0,68;-0,28;1,58;-2,68;-0,68;5,55;0,25;0,72;1,04;17,75;;10.029.516,00;24,94;-0,67;0,16;1.990.668.832,95
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;42,65;37,37;10,96;0,00;3,55;3,55;4,84;0,00;0,00;0,00;2,82;40,03;3,38;9,57;0,08;0,70;0,31;36,49;52,36;;34,64;13,87;0,00;0,00
NEMO5;52,97;;3,82;1,53;0,13;42,65;37,37;10,96;1,12;3,55;3,55;4,84;0,42;0,74;-0,18;2,82;40,03;3,38;9,57;0,08;0,70;0,31;36,49;52,36;;34,64;13,87;-0,96;0,00
NEMO6;0,00;;0,00;0,00;0,00;42,65;37,37;10,96;0,00;3,55;3,55;4,84;0,00;0,00;0,00;2,82;40,03;3,38;9,57;0,08;0,70;0,31;36,49;52,36;;34,64;13,87;0,00;0,00
NEOE3;21,20;8,19;4,96;0,87;0,26;26,13;21,96;11,89;2,68;6,64;3,96;1,29;0,59;21,11;-0,34;1,06;17,61;5,33;12,45;0,30;0,70;0,45;15,85;66,47;24.801.778,14;24,28;4,28;0,21;25.732.501.657,60
NEXP3;4,71;;-0,09;-0,09;0,10;86,77;-85,18;-147,00;-0,16;-0,78;-0,63;;0,13;-0,24;-0,15;0,47;-96,62;-107,69;97,23;-1,11;2,11;0,73;6,18;;7.813,70;-53,94;-52,12;0,00;12.507.729,99
NGRD3;1,12;1,32;28,85;0,59;0,40;63,47;-5,34;3,42;-18,47;-6,89;11,58;-0,37;0,99;1,61;-0,70;2,37;2,03;1,38;-4,51;0,68;0,32;0,40;10,18;3,51;557.865,05;1,91;0,04;0,06;267.301.809,60
NINJ3;5,06;;86,02;0,90;0,84;91,84;-44,70;4,92;-9,46;0,72;10,18;-0,97;4,23;0,96;-14,06;16,07;1,05;0,98;-10,12;0,94;0,06;0,20;;;668.821,48;5,61;0,06;-0,76;257.032.906,02
NORD3;11,19;;-9,87;-0,47;3,98;91,45;211,48;-332,85;15,53;23,48;7,95;;32,84;-0,46;-4,34;0,01;-4,80;-40,38;-4,03;-8,41;9,41;0,12;23,27;;28.750,90;-23,62;-1,13;1,51;74.094.428,34
NRTQ3;0,00;;0,00;0,00;0,00;27,82;17,10;18,21;0,00;0,32;0,32;0,05;0,00;0,00;0,00;4,82;17,37;12,36;12,35;0,71;0,29;0,68;9,53;24,53;;19,95;3,46;0,00;0,00
NTCO3;16,15;;4,72;0,80;0,44;64,98;-0,93;14,39;-73,25;-71,41;1,84;-0,02;0,68;2,85;-0,68;1,82;16,95;9,39;-3,13;0,55;0,45;0,65;29,83;47,94;154.015.064,38;20,21;3,43;-0,01;22.397.596.265,90
NUTR3;5,47;;18,94;2,20;0,69;16,12;6,42;2,33;6,87;7,44;0,57;0,18;0,44;2,07;-2,21;1,94;11,63;3,63;21,12;0,31;0,69;1,56;36,34;;22.862,86;2,48;0,29;-0,34;72.446.868,00
ODER4;98,91;0,63;7,44;2,24;1,27;30,41;18,23;14,52;5,93;6,57;0,65;0,24;1,08;2,58;-4,42;3,21;30,11;17,04;24,81;0,57;0,43;1,17;18,87;54,31;9.450,50;44,13;13,29;0,10;1.116.407.654,46
ODPV3;12,38;2,35;13,91;4,66;3,29;40,91;28,94;23,34;11,22;10,65;-0,57;-0,24;3,25;-169,58;-4,21;0,92;33,50;23,65;27,76;0,71;0,29;1,01;5,77;-0,45;28.715.287,38;2,66;0,89;0,49;6.839.896.307,94
OFSA3;21,51;0,91;-49,69;1,73;0,91;48,31;11,04;-2,37;10,66;11,45;0,79;0,13;1,18;2,40;-2,50;2,51;-3,49;-1,84;0,96;0,53;0,47;0,78;15,56;;161.738,45;12,41;-0,43;0,42;1.160.443.119,06
